Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
Er-167m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Er-169   , M,7300,      1.00,  1.5216E-10,  7.7331E-10,  8.7520E-10,AAA
Er-171   , M,7300,      1.00,  6.9102E-11,  1.6889E-10,  1.8006E-10,BBB
Er-172   , M,7300,      1.00,  2.5924E-10,  8.9951E-10,  9.8635E-10,AAA
Er-173   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Es-249   , M,7300,      1.00,  1.0219E-10,  1.6296E-10,  1.7862E-10,AAB
Es-250   , M,7300,      1.00,  4.9964E-09,  2.5727E-09,  1.1793E-09,AAA
Es-250m  , M,7300,      1.00,  1.2958E-09,  6.3121E-10,  2.6263E-10,AAA
Es-251   , M,7300,      1.00,  7.9412E-10,  1.6098E-09,  1.5427E-09,AAA
Es-253   , M,7300,      1.00,  4.3560E-07,  1.9989E-06,  2.3114E-06,AAA
Es-254   , M,7300,      1.00,  9.0744E-06,  7.2554E-06,  6.3918E-06,AAA
Es-254m  , M,7300,      1.00,  5.8044E-08,  3.4542E-07,  3.7577E-07,AAA
Es-255   , M,7300,      1.00,  8.6207E-07,  2.8783E-06,  3.3888E-06,AAA
Es-256   , M,7300,      1.00,  6.8830E-09,  2.7183E-08,  2.9429E-08,AAA
Eu-142   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Eu-142m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Eu-143   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Eu-144   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Eu-145   , M,7300,      1.00,  3.8118E-10,  4.4139E-10,  4.5486E-10,BBB
Eu-146   , M,7300,      1.00,  5.5528E-10,  6.6786E-10,  6.8453E-10,BBB
Eu-147   , M,7300,      1.00,  4.6051E-10,  8.6099E-10,  9.6125E-10,AAA
Eu-148   , M,7300,      1.00,  3.1890E-09,  2.5877E-09,  2.7012E-09,AAA
Eu-149   , M,7300,      1.00,  4.7120E-10,  3.7758E-10,  4.0585E-10,AAA
Eu-150   , M,7300,      1.00,  1.1361E-07,  5.2730E-08,  3.3177E-08,AAA
Eu-150m  , M,7300,      1.00,  6.0681E-11,  1.5042E-10,  1.6185E-10,BAA
Eu-152   , M,7300,      1.00,  8.2635E-08,  4.0866E-08,  3.2329E-08,AAA
Eu-152m  , M,7300,      1.00,  7.8922E-11,  1.7603E-10,  1.6872E-10,BBA
Eu-152n  , M,7300,      1.00,  3.7242E-12,  6.5683E-12,  6.8360E-12,BBB
Eu-154   , M,7300,      1.00,  9.4528E-08,  4.9384E-08,  4.4566E-08,AAA
Eu-154m  , M,7300,      1.00,  2.3954E-12,  3.1059E-12,  3.1922E-12,BBB
Eu-155   , M,7300,      1.00,  1.1009E-08,  6.4323E-09,  5.4444E-09,AAA
Eu-156   , M,7300,      1.00,  1.2740E-09,  2.9942E-09,  3.3540E-09,AAA
Eu-157   , M,7300,      1.00,  1.0537E-10,  2.2991E-10,  2.4670E-10,BAA
Eu-158   , M,7300,      1.00,  2.0597E-11,  3.7474E-11,  3.9334E-11,BBB
Eu-159   , M,7300,      1.00,  9.9373E-12,  1.8214E-11,  1.9138E-11,BBB
F-17     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
F-18     , M,7300,      1.00,  2.2008E-11,  4.2037E-11,  4.4249E-11,BBB
Fe-52    , M,7300,      1.00,  3.2584E-10,  4.9626E-10,  5.2273E-10,BBB
Fe-53    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fe-53m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fe-55    , M,7300,      1.00,  6.9004E-10,  3.6842E-10,  1.8525E-10,BBA
Fe-59    , M,7300,      1.00,  1.9543E-09,  3.0876E-09,  3.3594E-09,AAA
Fe-60    , M,7300,      1.00,  2.5516E-07,  1.3534E-07,  5.0737E-08,BBA
Fe-61    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fe-62    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fm-251   , M,7300,      1.00,  2.3257E-10,  1.2883E-09,  1.3811E-09,AAA
Fm-252   , M,7300,      1.00,  5.4665E-08,  2.5529E-07,  2.7619E-07,AAA
Fm-253   , M,7300,      1.00,  6.4201E-08,  2.9029E-07,  3.3640E-07,AAA
Fm-254   , M,7300,      1.00,  1.2533E-08,  4.2054E-08,  4.5584E-08,BAA
Fm-255   , M,7300,      1.00,  3.2625E-08,  1.8912E-07,  2.0873E-07,BAA
Fm-256   , M,7300,      1.00,  4.8228E-08,  1.7054E-07,  1.8406E-07,AAA
Fm-257   , M,7300,      1.00,  4.2270E-06,  5.7315E-06,  6.5061E-06,AAA
Fr-212   , M,7300,      1.00,  1.5171E-09,  4.0088E-09,  4.3526E-09,BAA
Fr-219   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fr-220   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fr-221   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fr-222   , M,7300,      1.00,  1.0044E-08,  1.8840E-08,  1.9815E-08,BBB
Fr-223   , M,7300,      1.00,  7.7373E-10,  7.6693E-09,  8.8597E-09,BAA
Fr-224   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Fr-227   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ga-64    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
