Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
Ir-192m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ir-192n  , M,7300,      1.00,  6.1085E-09,  1.0835E-08,  5.7506E-08,BAA
Ir-193m  , M,7300,      1.00,  7.4567E-11,  7.7991E-10,  8.9759E-10,AAA
Ir-194   , M,7300,      1.00,  1.7062E-10,  4.3189E-10,  4.6171E-10,AAA
Ir-194m  , M,7300,      1.00,  4.7423E-09,  7.6884E-09,  1.1039E-08,AAA
Ir-195   , M,7300,      1.00,  1.9834E-11,  5.1314E-11,  5.4798E-11,BBB
Ir-195m  , M,7300,      1.00,  3.3254E-11,  9.0239E-11,  9.6845E-11,BBB
Ir-196   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ir-196m  , M,7300,      1.00,  3.9115E-11,  6.8386E-11,  7.1616E-11,BBB
K-38     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
K-40     , M,7300,      1.00,  1.7758E-09,  1.3087E-08,  8.5400E-08,AAA
K-42     , M,7300,      1.00,  1.0550E-10,  2.9029E-10,  3.1328E-10,BAA
K-43     , M,7300,      1.00,  1.1795E-10,  2.8420E-10,  3.0353E-10,BBB
K-44     , M,7300,      1.00,  1.6656E-11,  2.6268E-11,  2.7324E-11,BBB
K-45     , M,7300,      1.00,  1.1148E-11,  1.7165E-11,  1.7876E-11,BBB
K-46     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-74    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-75    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-76    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-77    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-79    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-81    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-81m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-83m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-85    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-85m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-87    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-88    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Kr-89    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
La-128   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
La-129   , M,7300,      1.00,  6.4753E-12,  9.6220E-12,  9.9689E-12,BBB
La-130   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
La-131   , M,7300,      1.00,  1.0325E-11,  1.7997E-11,  1.8931E-11,BBB
La-132   , M,7300,      1.00,  8.7139E-11,  1.4320E-10,  1.4941E-10,BBB
La-132m  , M,7300,      1.00,  9.8465E-12,  1.6152E-11,  1.6848E-11,BBB
La-133   , M,7300,      1.00,  9.5192E-12,  1.3698E-11,  1.3981E-11,BBB
La-134   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
La-135   , M,7300,      1.00,  8.7798E-12,  1.1899E-11,  1.2250E-11,BBB
La-136   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
La-137   , M,7300,      1.00,  7.9167E-09,  3.6546E-09,  2.2489E-09,AAA
La-138   , M,7300,      1.00,  1.3796E-07,  6.3278E-08,  3.2306E-08,AAA
La-140   , M,7300,      1.00,  4.7675E-10,  8.8709E-10,  9.3616E-10,BBB
La-141   , M,7300,      1.00,  5.2792E-11,  1.2223E-10,  1.3184E-10,BAA
La-142   , M,7300,      1.00,  3.9713E-11,  6.9648E-11,  7.2951E-11,BBB
La-143   , M,7300,      1.00,  9.8315E-12,  1.7638E-11,  1.8594E-11,BBB
Lu-165   , M,7300,      1.00,  6.6179E-12,  1.0337E-11,  1.0749E-11,BBB
Lu-167   , M,7300,      1.00,  1.6436E-11,  2.8816E-11,  3.0327E-11,BBB
Lu-169   , M,7300,      1.00,  1.9442E-10,  3.3163E-10,  3.5701E-10,BBB
Lu-169m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Lu-170   , M,7300,      1.00,  3.2578E-10,  5.0294E-10,  5.2448E-10,BBB
Lu-171   , M,7300,      1.00,  2.5426E-10,  6.9681E-10,  7.6802E-10,AAA
Lu-171m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Lu-172   , M,7300,      1.00,  5.7699E-10,  1.1326E-09,  1.2382E-09,BAA
Lu-172m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Lu-173   , M,7300,      1.00,  4.0453E-09,  2.8828E-09,  3.2828E-09,AAA
Lu-174   , M,7300,      1.00,  6.3914E-09,  4.0981E-09,  4.1193E-09,AAA
Lu-174m  , M,7300,      1.00,  2.7291E-09,  3.1408E-09,  3.5635E-09,AAA
Lu-176   , M,7300,      1.00,  1.3489E-07,  6.8070E-08,  5.4849E-08,AAA
Lu-176m  , M,7300,      1.00,  3.1946E-11,  8.2529E-11,  8.8149E-11,BBB
Lu-177   , M,7300,      1.00,  1.7128E-10,  8.0658E-10,  9.0243E-10,AAA
Lu-177m  , M,7300,      1.00,  7.5364E-09,  1.0904E-08,  1.3441E-08,AAA
Lu-178   , M,7300,      1.00,  1.0091E-11,  1.8829E-11,  1.9791E-11,BBB
Lu-178m  , M,7300,      1.00,  1.3584E-11,  2.3331E-11,  2.4405E-11,BBB
Lu-179   , M,7300,      1.00,  3.7627E-11,  8.8958E-11,  9.4647E-11,BBB
Lu-180   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Lu-181   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mg-27    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mg-28    , M,7300,      1.00,  5.0470E-10,  9.9789E-10,  1.0546E-09,BBB
Mn-50m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mn-51    , M,7300,      1.00,  1.8474E-11,  3.3533E-11,  3.5192E-11,BBB
Mn-52    , M,7300,      1.00,  8.1065E-10,  1.1644E-09,  1.2176E-09,BBB
Mn-52m   , M,7300,      1.00,  1.5251E-11,  2.3247E-11,  2.4132E-11,BBB
Mn-53    , M,7300,      1.00,  2.4913E-11,  5.3263E-11,  3.4294E-10,AAA
Mn-54    , M,7300,      1.00,  7.5845E-10,  1.5471E-09,  3.2948E-09,BAA
Mn-56    , M,7300,      1.00,  5.3009E-11,  9.9857E-11,  1.0504E-10,BBB
Mn-57    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mn-58m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mo-101   , M,7300,      1.00,  1.1656E-11,  1.9711E-11,  2.0596E-11,BBB
Mo-102   , M,7300,      1.00,  1.2777E-11,  1.9700E-11,  2.0467E-11,BBB
Mo-89    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mo-90    , M,7300,      1.00,  1.2978E-10,  2.7058E-10,  2.8929E-10,BBB
Mo-91    , M,7300,      1.00,  1.0537E-11,  1.6357E-11,  1.7000E-11,BBB
Mo-91m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Mo-93    , M,7300,      1.00,  8.0125E-10,  5.4297E-10,  2.2680E-09,AAA
Mo-93m   , M,7300,      1.00,  8.5166E-11,  1.3844E-10,  1.4519E-10,BBB
Mo-99    , M,7300,      1.00,  1.8771E-10,  7.1914E-10,  7.9667E-10,BAA
N-13     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
N-16     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Na-22    , M,7300,      1.00,  1.0943E-09,  8.9926E-09,  2.8382E-08,BAA
Na-24    , M,7300,      1.00,  2.3547E-10,  3.9802E-10,  4.1654E-10,BBB
Nb-87    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nb-88    , M,7300,      1.00,  1.7047E-11,  2.4025E-11,  2.4960E-11,BBB
Nb-88m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nb-89    , M,7300,      1.00,  5.0288E-11,  9.4284E-11,  9.9254E-11,BBB
Nb-89m   , M,7300,      1.00,  3.2242E-11,  5.4853E-11,  5.7392E-11,BBB
Nb-90    , M,7300,      1.00,  3.2080E-10,  5.1805E-10,  5.4031E-10,BBB
Nb-91    , M,7300,      1.00,  9.8330E-11,  2.6244E-10,  1.8715E-09,AAA
Nb-91m   , M,7300,      1.00,  2.2295E-10,  2.5364E-09,  3.1976E-09,AAA
Nb-92    , M,7300,      1.00,  3.9557E-09,  4.9130E-09,  2.7550E-08,AAA
Nb-92m   , M,7300,      1.00,  2.9816E-10,  3.8330E-10,  4.0076E-10,BBB
Nb-93m   , M,7300,      1.00,  2.0327E-10,  4.6866E-10,  1.8539E-09,AAA
Nb-94    , M,7300,      1.00,  5.1475E-09,  9.7866E-09,  4.8325E-08,AAA
Nb-94m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nb-95    , M,7300,      1.00,  4.9098E-10,  1.2176E-09,  1.4417E-09,BAA
Nb-95m   , M,7300,      1.00,  1.7310E-10,  6.2521E-10,  7.0139E-10,BAA
Nb-96    , M,7300,      1.00,  2.8515E-10,  5.0813E-10,  5.3384E-10,BBB
Nb-97    , M,7300,      1.00,  1.6957E-11,  3.3833E-11,  3.5696E-11,BBB
Nb-98m   , M,7300,      1.00,  2.8512E-11,  4.5862E-11,  4.7775E-11,BBB
Nb-99    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nb-99m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nd-134   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nd-135   , M,7300,      1.00,  1.3122E-11,  2.0637E-11,  2.1464E-11,BBB
Nd-136   , M,7300,      1.00,  2.4068E-11,  4.1361E-11,  4.3268E-11,BBB
Nd-137   , M,7300,      1.00,  1.3491E-11,  2.1959E-11,  2.2890E-11,BBB
Nd-138   , M,7300,      1.00,  1.0024E-10,  1.9720E-10,  2.0795E-10,BBB
Nd-139   , M,7300,      1.00,  5.2716E-12,  8.4565E-12,  8.8377E-12,BBB
Nd-139m  , M,7300,      1.00,  7.4786E-11,  1.1630E-10,  1.2124E-10,BBB
Nd-140   , M,7300,      1.00,  4.0669E-10,  9.1271E-10,  9.7933E-10,AAA
Nd-141   , M,7300,      1.00,  2.7152E-12,  4.1014E-12,  4.2545E-12,BBB
Nd-141m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Nd-144   , M,7300,      1.00,  1.6854E-05,  7.6547E-06,  3.3965E-06,AAA
Nd-147   , M,7300,      1.00,  5.1469E-10,  1.6846E-09,  1.8906E-09,AAA
Nd-149   , M,7300,      1.00,  2.7180E-11,  6.6813E-11,  7.1354E-11,BBB
Nd-151   , M,7300,      1.00,  7.9575E-12,  1.3158E-11,  1.3746E-11,BBB
Nd-152   , M,7300,      1.00,  1.0818E-11,  1.8042E-11,  1.8838E-11,BBB
Ne-19    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ne-24    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ni-56    , M,7300,      1.00,  4.2112E-10,  8.0585E-10,  9.7635E-10,BBB
Ni-57    , M,7300,      1.00,  2.1859E-10,  4.2410E-10,  4.5446E-10,BBB
Ni-59    , M,7300,      1.00,  1.5956E-10,  1.2789E-10,  4.4851E-10,AAA
Ni-63    , M,7300,      1.00,  3.9073E-10,  4.2894E-10,  1.2418E-09,AAA
Ni-65    , M,7300,      1.00,  3.3642E-11,  6.8001E-11,  7.1965E-11,BBB
Ni-66    , M,7300,      1.00,  3.4772E-10,  1.3754E-09,  1.5177E-09,AAA
Np-232   , M,7300,      1.00,  1.0605E-10,  4.9929E-11,  2.3590E-11,AAA
Np-233   , M,7300,      1.00,  9.9342E-13,  1.4336E-12,  1.4787E-12,BBB
Np-234   , M,7300,      1.00,  2.3669E-10,  3.6605E-10,  3.8367E-10,BBB
Np-235   , M,7300,      1.00,  6.4290E-10,  4.4475E-10,  5.3163E-10,AAA
Np-236   , M,7300,      1.00,  1.0180E-05,  4.5035E-06,  1.4940E-06,AAA
Np-236m  , M,7300,      1.00,  8.1294E-09,  4.8803E-09,  3.7166E-09,AAA
Np-237   , M,7300,      1.00,  4.4079E-05,  2.1595E-05,  1.1058E-05,AAA
Np-238   , M,7300,      1.00,  3.0695E-09,  1.9196E-09,  1.3056E-09,AAA
Np-239   , M,7300,      1.00,  1.4873E-10,  7.1437E-10,  7.8297E-10,AAA
Np-240   , M,7300,      1.00,  2.6330E-11,  5.2773E-11,  5.5547E-11,BBB
Np-240m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Np-241   , M,7300,      1.00,  6.8421E-12,  9.4475E-12,  9.4025E-12,BBB
Np-242   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Np-242m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
O-14     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
O-15     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
O-19     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Os-180   , M,7300,      1.00,  6.9059E-12,  1.1233E-11,  1.1710E-11,BBB
Os-181   , M,7300,      1.00,  2.8510E-11,  4.7935E-11,  5.0160E-11,BBB
Os-182   , M,7300,      1.00,  1.5218E-10,  2.9912E-10,  3.1643E-10,BBB
Os-183   , M,7300,      1.00,  6.3504E-11,  1.3514E-10,  1.4622E-10,BBB
Os-183m  , M,7300,      1.00,  6.6491E-11,  1.1085E-10,  1.1812E-10,BBB
Os-185   , M,7300,      1.00,  9.2410E-10,  1.1754E-09,  1.5019E-09,AAA
Os-186   , M,7300,      1.00,  6.4179E-07,  1.0272E-06,  4.0094E-06,BAA
Os-189m  , M,7300,      1.00,  2.0397E-12,  3.8069E-12,  4.0033E-12,AAA
Os-190m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Os-191   , M,7300,      1.00,  2.1938E-10,  1.2854E-09,  1.4887E-09,BAA
Os-191m  , M,7300,      1.00,  2.0633E-11,  1.0668E-10,  1.1973E-10,BAA
Os-193   , M,7300,      1.00,  1.1267E-10,  3.9214E-10,  4.2502E-10,AAA
Os-194   , M,7300,      1.00,  9.7094E-09,  2.0851E-08,  8.6213E-08,BAA
Os-196   , M,7300,      1.00,  2.1593E-11,  4.2441E-11,  4.4736E-11,BBB
P-30     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
P-32     , M,7300,      1.00,  6.6738E-10,  2.9653E-09,  3.4225E-09,AAA
P-33     , M,7300,      1.00,  7.8783E-11,  1.1225E-09,  1.3503E-09,BAA
Pa-227   , M,7300,      1.00,  1.6234E-08,  5.1557E-08,  5.5644E-08,BBB
Pa-228   , M,7300,      1.00,  3.4526E-08,  4.7347E-08,  5.7454E-08,AAA
Pa-229   , M,7300,      1.00,  7.9423E-10,  4.5954E-09,  5.2252E-09,AAA
Pa-230   , M,7300,      1.00,  4.9361E-08,  3.9598E-07,  5.0522E-07,AAA
Pa-231   , M,7300,      1.00,  2.0354E-04,  9.1173E-05,  2.8292E-05,AAA
Pa-232   , M,7300,      1.00,  1.0095E-09,  7.6454E-10,  2.2569E-09,AAA
Pa-233   , M,7300,      1.00,  9.9340E-10,  2.7989E-09,  3.2252E-09,AAA
Pa-234   , M,7300,      1.00,  1.0782E-10,  2.4612E-10,  2.6161E-10,BBB
Pa-234m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pa-235   , M,7300,      1.00,  6.7402E-12,  1.2536E-11,  1.3177E-11,BBB
Pa-236   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pa-237   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pb-194   , M,7300,      1.00,  6.5279E-12,  1.0177E-11,  1.0581E-11,BBB
Pb-195m  , M,7300,      1.00,  1.1400E-11,  1.7339E-11,  1.8028E-11,BBB
Pb-196   , M,7300,      1.00,  1.2905E-11,  1.9431E-11,  2.0159E-11,BBB
Pb-197   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pb-197m  , M,7300,      1.00,  1.9262E-11,  3.4895E-11,  3.6677E-11,BBB
Pb-198   , M,7300,      1.00,  3.4575E-11,  4.9864E-11,  5.1777E-11,BBB
Pb-199   , M,7300,      1.00,  1.5131E-11,  2.3353E-11,  2.4334E-11,BBB
Pb-200   , M,7300,      1.00,  1.1845E-10,  2.5600E-10,  2.7452E-10,BBB
Pb-201   , M,7300,      1.00,  5.0620E-11,  8.9769E-11,  9.5543E-11,BBB
Pb-201m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pb-202   , M,7300,      1.00,  1.7866E-08,  1.6420E-08,  4.8451E-08,AAA
Pb-202m  , M,7300,      1.00,  5.2282E-11,  7.9411E-11,  8.3015E-11,BBB
Pb-203   , M,7300,      1.00,  7.3012E-11,  1.6354E-10,  1.7652E-10,BBB
Pb-204m  , M,7300,      1.00,  1.7895E-11,  2.3316E-11,  2.3965E-11,BBB
Pb-205   , M,7300,      1.00,  2.8606E-10,  2.3208E-10,  8.3996E-10,AAA
Pb-209   , M,7300,      1.00,  1.3886E-11,  4.2290E-11,  4.5629E-11,BBB
Pb-210   , M,7300,      1.00,  7.9788E-07,  9.9943E-07,  5.5967E-06,AAA
Pb-211   , M,7300,      1.00,  2.8577E-09,  9.2518E-09,  9.9538E-09,BBB
Pb-212   , M,7300,      1.00,  1.5257E-08,  1.2140E-07,  1.3426E-07,BAA
Pb-214   , M,7300,      1.00,  2.2383E-09,  9.5739E-09,  1.0393E-08,BBB
Pd-100   , M,7300,      1.00,  4.0316E-10,  6.4931E-10,  6.8359E-10,BBB
Pd-101   , M,7300,      1.00,  3.3097E-11,  4.8091E-11,  4.9999E-11,BBB
Pd-103   , M,7300,      1.00,  7.6586E-11,  2.9072E-10,  3.3715E-10,BAA
Pd-107   , M,7300,      1.00,  2.2955E-11,  8.6285E-11,  6.1653E-10,BAA
Pd-109   , M,7300,      1.00,  9.7403E-11,  2.6749E-10,  2.8889E-10,BAA
Pd-109m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pd-111   , M,7300,      1.00,  1.0022E-11,  2.0015E-11,  2.1213E-11,BBB
Pd-112   , M,7300,      1.00,  3.7871E-10,  8.5056E-10,  9.0497E-10,AAA
Pd-114   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pd-96    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pd-97    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pd-98    , M,7300,      1.00,  1.2944E-11,  2.1745E-11,  2.2713E-11,BBB
Pd-99    , M,7300,      1.00,  9.9630E-12,  1.4814E-11,  1.5349E-11,BBB
Pm-136   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-137m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-139   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-140   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-140m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-141   , M,7300,      1.00,  7.1720E-12,  1.1313E-11,  1.1770E-11,BBB
Pm-142   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-143   , M,7300,      1.00,  2.5526E-09,  1.4667E-09,  1.4519E-09,AAA
Pm-144   , M,7300,      1.00,  1.5145E-08,  8.1884E-09,  7.7041E-09,AAA
Pm-145   , M,7300,      1.00,  7.1195E-09,  3.4076E-09,  2.2526E-09,AAA
Pm-146   , M,7300,      1.00,  3.8964E-08,  1.9844E-08,  1.7111E-08,AAA
Pm-147   , M,7300,      1.00,  6.1779E-09,  4.3648E-09,  4.2262E-09,AAA
Pm-148   , M,7300,      1.00,  6.8125E-10,  1.7195E-09,  1.8709E-09,AAA
Pm-148m  , M,7300,      1.00,  3.3587E-09,  4.4119E-09,  4.8988E-09,AAA
Pm-149   , M,7300,      1.00,  1.6194E-10,  5.3236E-10,  5.7816E-10,AAA
Pm-150   , M,7300,      1.00,  5.3962E-11,  1.0084E-10,  1.0602E-10,BBB
Pm-151   , M,7300,      1.00,  1.4076E-10,  3.4118E-10,  3.6811E-10,BAA
Pm-152   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-152m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-153   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-154   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pm-154m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-203   , M,7300,      1.00,  2.0774E-11,  3.4239E-11,  3.5941E-11,BBB
Po-204   , M,7300,      1.00,  1.0777E-10,  3.0779E-10,  3.3185E-10,BBB
Po-205   , M,7300,      1.00,  2.3773E-11,  3.5258E-11,  3.6624E-11,BBB
Po-206   , M,7300,      1.00,  7.2665E-09,  4.1464E-08,  4.6935E-08,BAA
Po-207   , M,7300,      1.00,  4.7933E-11,  7.0418E-11,  7.4361E-11,BBB
Po-208   , M,7300,      1.00,  6.7415E-07,  2.9108E-06,  5.7252E-06,BAA
Po-209   , M,7300,      1.00,  6.6950E-07,  2.8261E-06,  8.5392E-06,BAA
Po-210   , M,7300,      1.00,  5.3757E-07,  2.4690E-06,  3.2724E-06,BAA
Po-211   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-212   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-212m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-213   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-214   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-215   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-216   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Po-218   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pr-134   , M,7300,      1.00,  1.1626E-11,  1.6780E-11,  1.7378E-11,BBB
Pr-134m  , M,7300,      1.00,  1.6220E-11,  2.5526E-11,  2.6597E-11,BBB
Pr-135   , M,7300,      1.00,  1.0138E-11,  1.5895E-11,  1.6530E-11,BBB
Pr-136   , M,7300,      1.00,  7.9853E-12,  1.1068E-11,  1.1408E-11,BBB
Pr-137   , M,7300,      1.00,  8.6299E-12,  1.4816E-11,  1.5497E-11,BBB
Pr-138   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pr-138m  , M,7300,      1.00,  4.2135E-11,  5.9539E-11,  6.1459E-11,BBB
Pr-139   , M,7300,      1.00,  9.6350E-12,  1.5496E-11,  1.6428E-11,BBB
Pr-140   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pr-142   , M,7300,      1.00,  1.7257E-10,  4.2667E-10,  4.5570E-10,AAA
Pr-142m  , M,7300,      1.00,  2.1880E-12,  5.4338E-12,  5.8047E-12,AAA
Pr-143   , M,7300,      1.00,  5.0725E-10,  1.7554E-09,  1.9920E-09,AAA
Pr-144   , M,7300,      1.00,  8.4885E-12,  1.4259E-11,  1.4892E-11,BBB
Pr-144m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pr-145   , M,7300,      1.00,  5.6107E-11,  1.2645E-10,  1.3514E-10,BAA
Pr-146   , M,7300,      1.00,  1.3959E-11,  2.3401E-11,  2.4439E-11,BBB
Pr-147   , M,7300,      1.00,  8.2508E-12,  1.3641E-11,  1.4303E-11,BBB
Pr-148   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pr-148m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Pt-184   , M,7300,      1.00,  1.1300E-11,  1.9228E-11,  2.0102E-11,BBB
Pt-186   , M,7300,      1.00,  3.3866E-11,  5.4348E-11,  5.6637E-11,BBB
Pt-187   , M,7300,      1.00,  2.5175E-11,  5.1458E-11,  5.4370E-11,BBB
Pt-188   , M,7300,      1.00,  4.2609E-10,  1.4740E-09,  1.6729E-09,BAA
Pt-189   , M,7300,      1.00,  5.1454E-11,  1.2637E-10,  1.3556E-10,BBB
Pt-190   , M,7300,      1.00,  9.5639E-08,  1.1409E-06,  4.8737E-06,BAA
Pt-191   , M,7300,      1.00,  9.5326E-11,  2.5223E-10,  2.7578E-10,BAA
Pt-193   , M,7300,      1.00,  2.0477E-11,  9.4755E-11,  6.8230E-10,BAA
Pt-193m  , M,7300,      1.00,  1.0385E-10,  6.5016E-10,  7.2827E-10,BAA
Pt-195m  , M,7300,      1.00,  1.4862E-10,  7.7710E-10,  8.6667E-10,BAA
Pt-197   , M,7300,      1.00,  7.4363E-11,  2.5738E-10,  2.8038E-10,BAA
Pt-197m  , M,7300,      1.00,  1.9224E-11,  5.5906E-11,  6.0028E-11,BBB
Pt-199   , M,7300,      1.00,  9.8529E-12,  2.1235E-11,  2.2551E-11,BBB
Pt-200   , M,7300,      1.00,  1.7828E-10,  4.4220E-10,  4.7533E-10,BAA
Pt-202   , M,7300,      1.00,  6.3608E-10,  1.7155E-09,  1.8457E-09,AAA
Pu-232   , M,7300,      1.00,  4.7492E-09,  1.5729E-08,  1.6830E-08,BBB
Pu-234   , M,7300,      1.00,  2.6359E-09,  1.4980E-08,  1.7139E-08,AAA
Pu-235   , M,7300,      1.00,  8.7748E-13,  1.2193E-12,  1.2588E-12,BBB
Pu-236   , M,7300,      1.00,  3.6112E-05,  1.8602E-05,  9.3274E-06,AAA
Pu-237   , M,7300,      1.00,  2.4468E-10,  2.9867E-10,  3.2577E-10,AAA
Pu-238   , M,7300,      1.00,  9.5769E-05,  4.4494E-05,  1.5061E-05,AAA
Pu-239   , M,7300,      1.00,  1.0561E-04,  4.8485E-05,  1.5158E-05,AAA
